alarm_time,alarm_end,duration_h
2021-03-06 12:15:00+00:00,2021-03-06 13:45:00+00:00,1.5
2021-03-06 15:45:00+00:00,2021-03-06 22:15:00+00:00,6.5
2021-03-07 03:25:00+00:00,2021-03-07 08:20:00+00:00,4.916666666666667
2021-03-08 13:25:00+00:00,2021-03-08 15:15:00+00:00,1.8333333333333333
2021-03-08 18:30:00+00:00,2021-03-08 23:50:00+00:00,5.333333333333333
2021-03-09 00:55:00+00:00,2021-03-09 04:35:00+00:00,3.6666666666666665
2021-03-09 05:55:00+00:00,2021-03-10 23:15:00+00:00,41.333333333333336
2021-03-11 04:05:00+00:00,2021-03-11 08:30:00+00:00,4.416666666666667
2021-03-11 15:30:00+00:00,2021-03-13 02:20:00+00:00,34.833333333333336
2021-03-13 04:25:00+00:00,2021-03-14 03:15:00+00:00,22.833333333333332
2021-03-14 04:35:00+00:00,2021-03-14 16:40:00+00:00,12.083333333333334
2021-03-16 00:35:00+00:00,2021-03-16 07:45:00+00:00,7.166666666666667
2021-03-16 20:30:00+00:00,2021-03-18 05:45:00+00:00,33.25
2021-03-18 16:20:00+00:00,2021-03-20 06:05:00+00:00,37.75
2021-03-20 07:40:00+00:00,2021-03-20 08:50:00+00:00,1.1666666666666667
2021-03-21 00:35:00+00:00,2021-03-21 08:35:00+00:00,8.0
2021-03-21 10:20:00+00:00,2021-03-21 10:25:00+00:00,0.08333333333333333
2021-03-21 19:35:00+00:00,2021-03-21 21:45:00+00:00,2.1666666666666665
2021-03-23 06:35:00+00:00,2021-03-23 11:50:00+00:00,5.25
2021-04-04 09:30:00+00:00,2021-04-04 10:30:00+00:00,1.0
2021-04-04 15:45:00+00:00,2021-04-05 03:10:00+00:00,11.416666666666666
2021-04-05 04:30:00+00:00,2021-04-05 14:55:00+00:00,10.416666666666666
2021-04-29 05:10:00+00:00,2021-04-29 10:10:00+00:00,5.0
2021-05-07 06:40:00+00:00,2021-05-07 07:05:00+00:00,0.4166666666666667
2021-06-04 07:30:00+00:00,2021-06-04 08:25:00+00:00,0.9166666666666666
2021-08-23 22:00:00+00:00,2021-08-23 22:35:00+00:00,0.5833333333333334
2021-08-23 23:50:00+00:00,2021-08-24 21:40:00+00:00,21.833333333333332
2021-09-15 05:05:00+00:00,2021-09-15 05:15:00+00:00,0.16666666666666666
2021-09-15 09:25:00+00:00,2021-09-15 12:55:00+00:00,3.5
2021-09-19 14:50:00+00:00,2021-09-19 15:20:00+00:00,0.5
2021-09-25 06:00:00+00:00,2021-09-25 07:20:00+00:00,1.3333333333333333
2021-10-15 08:50:00+00:00,2021-10-15 09:15:00+00:00,0.4166666666666667
2021-10-15 15:40:00+00:00,2021-10-15 17:55:00+00:00,2.25
2021-10-24 19:35:00+00:00,2021-10-24 22:15:00+00:00,2.6666666666666665
2021-11-23 08:55:00+00:00,2021-11-23 09:05:00+00:00,0.16666666666666666
2021-12-01 01:05:00+00:00,2021-12-01 02:15:00+00:00,1.1666666666666667
2021-12-01 10:20:00+00:00,2021-12-01 11:05:00+00:00,0.75
2021-12-05 19:35:00+00:00,2021-12-06 00:30:00+00:00,4.916666666666667
2021-12-06 04:10:00+00:00,2021-12-06 14:40:00+00:00,10.5
2021-12-06 18:05:00+00:00,2021-12-06 18:45:00+00:00,0.6666666666666666
2021-12-06 21:20:00+00:00,2021-12-08 14:00:00+00:00,40.666666666666664
2021-12-08 16:55:00+00:00,2021-12-08 19:15:00+00:00,2.3333333333333335
2021-12-14 11:45:00+00:00,2021-12-14 23:00:00+00:00,11.25
2021-12-15 02:10:00+00:00,2021-12-15 14:00:00+00:00,11.833333333333334
2021-12-17 06:55:00+00:00,2021-12-17 07:45:00+00:00,0.8333333333333334
2021-12-17 09:25:00+00:00,2021-12-17 10:20:00+00:00,0.9166666666666666
2021-12-17 11:30:00+00:00,2021-12-17 11:50:00+00:00,0.3333333333333333
2021-12-19 18:15:00+00:00,2021-12-19 23:30:00+00:00,5.25
2021-12-20 04:40:00+00:00,2021-12-20 11:45:00+00:00,7.083333333333333
2021-12-21 16:40:00+00:00,2021-12-22 23:40:00+00:00,31.0
2021-12-25 05:55:00+00:00,2021-12-25 20:50:00+00:00,14.916666666666666
2021-12-30 05:15:00+00:00,2022-01-05 06:15:00+00:00,145.0
2022-01-15 05:00:00+00:00,2022-01-15 05:10:00+00:00,0.16666666666666666
2022-02-16 12:40:00+00:00,2022-02-16 12:50:00+00:00,0.16666666666666666
2022-03-10 08:55:00+00:00,2022-03-10 10:55:00+00:00,2.0
2022-03-22 01:35:00+00:00,2022-03-22 02:20:00+00:00,0.75
2022-03-26 00:15:00+00:00,2022-03-26 00:50:00+00:00,0.5833333333333334
